"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"174",174,194.96,"G11R","G",175,239.85,1.01,1.007,15.5936734239249,6.68300289596818,77.7233236801069
"175",175,211.19,"G12R","G",175,256.72,1.0103,1.0072,15.8137491763674,6.80869756204674,77.3775532615858
"176",176,194.88,"G13L","G",175,239.8,1.0102,1.007,15.5832591273373,7.12377560106876,77.292965271594
"177",177,175.51,"G14R","G",175,220.41,1.0145,1.01,22.271714922049,10.0222717149219,67.7060133630291
"178",178,210.34,"G15R","G",175,260.2,1.0101,1.0075,15.0421179302047,5.2146008824708,79.7432811873245
"179",179,195.53,"G16R","G",175,240.27,1.0142,1.011,24.5864997764861,7.15243629861442,68.2610639248994
"180",180,213.73,"G17R","G",175,255.15,1.013,1.0085,20.521487204249,10.8643167551906,68.6141960405604
"181",181,175.4,"G18R","G",175,220.65,1.0136,1.0093,20.5524861878455,9.50276243093916,69.9447513812153
"182",182,212.18,"G19L","G",175,257.05,1.0117,1.0083,18.4978827724537,7.57744595498121,73.9246712725651
"183",183,215.1,"G20L","G",175,254.92,1.0128,1.0088,22.099447513812,10.0452034153692,67.8553490708189
"184",184,214.22,"G22L","G",175,256.18,1.0042,1.001,2.38322211630098,7.62631077216418,89.9904671115348
"185",185,202,"G23L","G",175,247.36,1.007,1.0085,18.7389770723103,-3.30687830687843,84.5679012345681
"186",186,175.51,"G24R","G",175,220.94,1.0115,1.007,15.408320493066,9.9053488884001,74.6863306185339
"187",187,201.75,"G01R","G",200,247.06,1.01,1.0062,13.6835135731626,8.38666960935782,77.9298168174796
"188",188,214.79,"G02L","G",200,260.35,1.009,1.005,10.9745390693588,8.77963125548727,80.2458296751539
"189",189,202,"G03","G",200,247.15,1.008,1.005,11.0741971207085,6.6445182724255,82.281284606866
"190",190,175.51,"G04L","G",200,219.78,1.0085,1.005,11.2943302462162,7.90603117235161,80.7996385814322
"191",191,210.69,"G05R","G",200,256.04,1.009,1.006,13.2304299889746,6.61521499448708,80.1543550165383
"192",192,194.96,"G06R","G",200,240.11,1.0086,1.005,11.0741971207085,7.97342192691041,80.9523809523811
